# BEAST v1.8.2, r6687
# Generated Wed Dec 09 10:39:01 PST 2015 [seed=1449686340227]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-23794.518015285852	-17803.083587003297	-5991.434428282554	116.86790238654767	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0	19.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3E-5	-5991.434428282554	-15499.293439501093
100000	-6802.583929331504	-4276.531775552051	-2526.0521537794534	894.9444555814812	50502.297676128626	9337.615654458124	14079.314874399444	3388.532035095073	9098.233988476626	7172.132392171646	5980.928064300276	5468.20501746043	3994.529071872836	314.9899784677948	6.0	7.0	24.0	14.0	19.0	7.0	59.0	24.0	8.0	30.0	2.6210152463720395	0.3374181132029693	0.17012714433609624	0.2187611063044381	0.2736936361564965	1.4138198546659305E-5	-2526.0521537794534	-1884.049884390203
200000	-6649.204776277764	-4266.475581720786	-2382.7291945569777	1165.5765006972388	21152.055806798413	13557.008814279285	9913.307391747127	20685.400282175007	28278.570735227913	6543.619997110828	4008.5993484811233	1980.619066129087	655.3580175226072	672.5822755305369	15.0	7.0	8.0	23.0	21.0	24.0	24.0	39.0	18.0	19.0	3.5406059899681877	0.41669422619202495	0.14920439055892298	0.16778644342519264	0.2663149398238599	1.387201221027315E-5	-2382.7291945569777	-1876.2500352794605
300000	-6485.713387598069	-4139.581902930766	-2346.1314846673026	749.1387606206199	105288.29908183799	8515.889389509102	1941.2699554489272	10125.059850762533	13084.52888618662	14512.356866055643	2294.9770213481966	2126.694683838055	2939.2094000808434	609.476889589555	9.0	3.0	25.0	9.0	14.0	16.0	53.0	3.0	4.0	62.0	4.030650089902626	0.40691020447726356	0.1379735717314988	0.17552155364464897	0.279594670146589	1.5184372941599388E-5	-2346.1314846673026	-1744.2404009692077
400000	-6509.806676767963	-4171.159060622543	-2338.64761614542	744.2635400447464	76089.8054385396	29980.480793529172	24510.895988230022	10658.26405992806	1445.010166436582	1302.2437333771322	2156.0840427234502	2670.9195334941087	4716.48575951716	526.4564391038284	5.0	4.0	34.0	13.0	17.0	14.0	61.0	9.0	2.0	39.0	2.981476613203441	0.4026432260554126	0.15348661061691596	0.2071420897745373	0.2367280735531344	1.5099034911221723E-5	-2338.64761614542	-1780.135821716284
500000	-6495.967621979202	-4184.7734774393475	-2311.1941445398543	826.9987150179328	36088.05569774307	14694.053517588696	15613.840096347665	3974.450936068018	917.6323885273372	536.1993702217582	2040.1103208745249	5241.396635970316	938.9849626619048	267.27995300040743	28.0	21.0	15.0	1.0	13.0	2.0	60.0	10.0	8.0	40.0	2.750043815578973	0.41979454277844785	0.13644828871268086	0.18263550940783876	0.2611216591010325	1.4235199627392004E-5	-2311.1941445398543	-1798.217845500553
600000	-6490.939728673771	-4191.172315143202	-2299.7674135305692	1573.1734261162967	41632.73723647728	31820.200213307744	2042.8270024953695	1174.204097930801	2309.080301331179	3807.1329435305524	3622.393215236881	1917.8621898358342	573.4586178458062	857.0214568261524	4.0	42.0	18.0	23.0	7.0	5.0	31.0	34.0	19.0	15.0	2.850929064718531	0.4345812041049195	0.15167420322297023	0.1865656220718169	0.2271789706002933	1.5541753766511287E-5	-2299.7674135305692	-1805.3145174993176
700000	-6508.2913542339265	-4187.895120820621	-2320.396233413306	851.3695363378208	39342.20563575634	32468.849968274917	7670.4982153885885	1886.8369031679033	3363.9370019854664	4897.737474041332	1980.573403442308	158.75680513573246	66.50467120437322	298.27478448781204	6.0	36.0	40.0	9.0	15.0	2.0	60.0	1.0	5.0	24.0	2.415287008391814	0.41400364059818817	0.15025126437579836	0.17739454421581727	0.25835055081019614	1.5527237927295293E-5	-2320.396233413306	-1803.4842836978698
800000	-6485.599812420238	-4163.394470132686	-2322.2053422875515	1039.393141159232	359457.9378098766	39289.943849401265	3379.144282000442	5392.119834617955	4797.46359255764	3704.1173311972493	3168.6337522442045	3873.160497271721	417.1458558339026	211.97612581639905	3.0	12.0	15.0	17.0	12.0	5.0	96.0	5.0	15.0	18.0	3.2371063466697105	0.4278427106305306	0.16788897701417307	0.18596277856826873	0.21830553378702727	1.4610640463774999E-5	-2322.2053422875515	-1772.5149077107642
900000	-6589.615674541368	-4261.592256315166	-2328.0234182262025	1178.7805667133475	20107.38607861583	28318.86515429291	5046.923171661863	6336.0174159642675	7905.579974375411	3870.7928091419885	3665.909758953487	4614.218684205305	802.882091380015	1012.8726787891991	22.0	30.0	11.0	8.0	13.0	25.0	31.0	18.0	38.0	2.0	2.7046438181158154	0.4073260604430657	0.15084811052165698	0.19282907177101005	0.24899675726426695	1.2996172151458555E-5	-2328.0234182262025	-1873.0148420059784
